<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
USDCB;D;12/01/10;000000;29.4283000
USDCB;D;13/01/10;000000;29.3774000
USDCB;D;14/01/10;000000;29.6409000
USDCB;D;15/01/10;000000;29.4299000
USDCB;D;16/01/10;000000;29.5603000
USDCB;D;19/01/10;000000;29.5963000
USDCB;D;20/01/10;000000;29.5184000
USDCB;D;21/01/10;000000;29.6941000
USDCB;D;22/01/10;000000;29.7486000
USDCB;D;23/01/10;000000;29.7458000
USDCB;D;26/01/10;000000;30.0946000
USDCB;D;27/01/10;000000;30.3136000
USDCB;D;28/01/10;000000;30.2921000
USDCB;D;29/01/10;000000;30.3631000
USDCB;D;30/01/10;000000;30.4312000
USDCB;D;02/02/10;000000;30.3996000
USDCB;D;03/02/10;000000;30.1830000
USDCB;D;04/02/10;000000;29.8779000
USDCB;D;05/02/10;000000;30.0054000
USDCB;D;06/02/10;000000;30.4666000
USDCB;D;09/02/10;000000;30.5158000
USDCB;D;10/02/10;000000;30.3735000
USDCB;D;11/02/10;000000;30.2462000
USDCB;D;12/02/10;000000;30.1245000
USDCB;D;13/02/10;000000;30.1595000
USDCB;D;16/02/10;000000;30.2207000
USDCB;D;17/02/10;000000;30.1176000
USDCB;D;18/02/10;000000;29.9761000
USDCB;D;19/02/10;000000;30.1138000
USDCB;D;20/02/10;000000;30.1510000
USDCB;D;25/02/10;000000;30.0309000
USDCB;D;26/02/10;000000;30.0521000
USDCB;D;27/02/10;000000;30.0388000
USDCB;D;28/02/10;000000;29.9484000
USDCB;D;02/03/10;000000;29.9300000
USDCB;D;03/03/10;000000;29.9779000
USDCB;D;04/03/10;000000;29.8140000
USDCB;D;05/03/10;000000;29.8217000
USDCB;D;06/03/10;000000;29.8366000
USDCB;D;10/03/10;000000;29.7499000
USDCB;D;11/03/10;000000;29.7249000
USDCB;D;12/03/10;000000;29.5195000
USDCB;D;13/03/10;000000;29.3897000
USDCB;D;16/03/10;000000;29.3353000
USDCB;D;17/03/10;000000;29.4242000
USDCB;D;18/03/10;000000;29.1927000
USDCB;D;19/03/10;000000;29.2223000
USDCB;D;20/03/10;000000;29.2565000
USDCB;D;23/03/10;000000;29.3389000
USDCB;D;24/03/10;000000;29.4707000
USDCB;D;25/03/10;000000;29.5764000
USDCB;D;26/03/10;000000;29.6572000
USDCB;D;27/03/10;000000;29.5142000
USDCB;D;30/03/10;000000;29.6309000
USDCB;D;31/03/10;000000;29.3638000
USDCB;D;01/04/10;000000;29.4956000
USDCB;D;02/04/10;000000;29.4394000
USDCB;D;03/04/10;000000;29.2194000
USDCB;D;06/04/10;000000;29.2097000
USDCB;D;07/04/10;000000;29.2416000
USDCB;D;08/04/10;000000;29.2940000
USDCB;D;09/04/10;000000;29.4003000
USDCB;D;10/04/10;000000;29.3232000
USDCB;D;13/04/10;000000;28.9428000
USDCB;D;14/04/10;000000;29.0294000
USDCB;D;15/04/10;000000;29.0444000
USDCB;D;16/04/10;000000;28.9310000
USDCB;D;17/04/10;000000;29.0325000
USDCB;D;20/04/10;000000;29.1969000
USDCB;D;21/04/10;000000;29.1381000
USDCB;D;22/04/10;000000;29.0906000
USDCB;D;23/04/10;000000;29.1288000
USDCB;D;24/04/10;000000;29.2743000
USDCB;D;27/04/10;000000;29.0882000
USDCB;D;28/04/10;000000;29.0623000
USDCB;D;29/04/10;000000;29.3801000
USDCB;D;30/04/10;000000;29.2886000
USDCB;D;01/05/10;000000;29.1537000
USDCB;D;05/05/10;000000;29.2982000
USDCB;D;06/05/10;000000;29.6812000
USDCB;D;07/05/10;000000;30.2971000
USDCB;D;08/05/10;000000;30.7193000
USDCB;D;12/05/10;000000;30.3609000
USDCB;D;13/05/10;000000;30.2048000
USDCB;D;14/05/10;000000;29.8597000
USDCB;D;15/05/10;000000;30.0575000
USDCB;D;18/05/10;000000;30.6986000
USDCB;D;19/05/10;000000;30.3946000
USDCB;D;20/05/10;000000;30.6953000
USDCB;D;21/05/10;000000;30.7523000
USDCB;D;22/05/10;000000;31.0576000
USDCB;D;25/05/10;000000;30.8754000
USDCB;D;26/05/10;000000;31.4293000
USDCB;D;27/05/10;000000;31.3538000
USDCB;D;28/05/10;000000;30.8786000
USDCB;D;29/05/10;000000;30.4956000
USDCB;D;01/06/10;000000;30.7400000
USDCB;D;02/06/10;000000;31.0702000
USDCB;D;03/06/10;000000;31.1900000
USDCB;D;04/06/10;000000;30.8938000
USDCB;D;05/06/10;000000;31.0685000
USDCB;D;08/06/10;000000;31.7798000
USDCB;D;09/06/10;000000;31.6200000
USDCB;D;10/06/10;000000;31.7302000
USDCB;D;11/06/10;000000;31.5742000
USDCB;D;12/06/10;000000;31.4471000
USDCB;D;16/06/10;000000;31.4595000
USDCB;D;17/06/10;000000;31.1566000
USDCB;D;18/06/10;000000;31.1854000
USDCB;D;19/06/10;000000;30.8840000
USDCB;D;22/06/10;000000;30.7267000
USDCB;D;23/06/10;000000;30.8960000
USDCB;D;24/06/10;000000;30.9694000
USDCB;D;25/06/10;000000;31.0149000
USDCB;D;26/06/10;000000;31.0761000
USDCB;D;29/06/10;000000;30.9833000
USDCB;D;30/06/10;000000;31.1954000
USDCB;D;01/07/10;000000;31.2554000
USDCB;D;02/07/10;000000;31.3703000
USDCB;D;03/07/10;000000;31.1942000
USDCB;D;06/07/10;000000;31.1124000
USDCB;D;07/07/10;000000;31.1124000
USDCB;D;08/07/10;000000;31.0922000
USDCB;D;09/07/10;000000;30.9479000
USDCB;D;10/07/10;000000;30.7953000
USDCB;D;13/07/10;000000;30.8823000
USDCB;D;14/07/10;000000;30.8543000
USDCB;D;15/07/10;000000;30.5390000
USDCB;D;16/07/10;000000;30.5619000
USDCB;D;17/07/10;000000;30.4615000
USDCB;D;20/07/10;000000;30.5739000
USDCB;D;21/07/10;000000;30.4058000
USDCB;D;22/07/10;000000;30.4059000
USDCB;D;23/07/10;000000;30.5205000
USDCB;D;24/07/10;000000;30.3839000
USDCB;D;27/07/10;000000;30.3006000
USDCB;D;28/07/10;000000;30.2391000
USDCB;D;29/07/10;000000;30.2066000
USDCB;D;30/07/10;000000;30.2173000
USDCB;D;31/07/10;000000;30.1869000
USDCB;D;03/08/10;000000;30.1861000
USDCB;D;04/08/10;000000;29.9681000
USDCB;D;05/08/10;000000;29.7958000
USDCB;D;06/08/10;000000;29.8633000
USDCB;D;07/08/10;000000;29.8312000
USDCB;D;10/08/10;000000;29.8186000
USDCB;D;11/08/10;000000;30.0239000
USDCB;D;12/08/10;000000;30.2050000
USDCB;D;13/08/10;000000;30.4493000
USDCB;D;14/08/10;000000;30.4199000
USDCB;D;17/08/10;000000;30.5199000
USDCB;D;18/08/10;000000;30.4514000
USDCB;D;19/08/10;000000;30.4257000
USDCB;D;20/08/10;000000;30.4636000
USDCB;D;21/08/10;000000;30.5099000
USDCB;D;24/08/10;000000;30.6041000
USDCB;D;25/08/10;000000;30.7559000
USDCB;D;26/08/10;000000;30.8958000
USDCB;D;27/08/10;000000;30.8227000
USDCB;D;28/08/10;000000;30.6969000
USDCB;D;31/08/10;000000;30.6640000
USDCB;D;01/09/10;000000;30.8669000
USDCB;D;02/09/10;000000;30.8001000
USDCB;D;03/09/10;000000;30.6858000
USDCB;D;04/09/10;000000;30.6922000
USDCB;D;07/09/10;000000;30.5771000
USDCB;D;08/09/10;000000;30.7319000
USDCB;D;09/09/10;000000;30.8873000
USDCB;D;10/09/10;000000;30.8801000
USDCB;D;11/09/10;000000;30.8937000
USDCB;D;14/09/10;000000;30.6831000
USDCB;D;15/09/10;000000;30.7049000
USDCB;D;16/09/10;000000;30.7407000
USDCB;D;17/09/10;000000;31.0223000
USDCB;D;18/09/10;000000;31.0826000
USDCB;D;21/09/10;000000;30.9809000
USDCB;D;22/09/10;000000;31.0814000
USDCB;D;23/09/10;000000;30.9826000
USDCB;D;24/09/10;000000;31.0031000
USDCB;D;25/09/10;000000;30.9480000
USDCB;D;28/09/10;000000;30.6119000
USDCB;D;29/09/10;000000;30.6013000
USDCB;D;30/09/10;000000;30.4030000
USDCB;D;01/10/10;000000;30.5126000
USDCB;D;02/10/10;000000;30.5094000
USDCB;D;05/10/10;000000;30.4960000
USDCB;D;06/10/10;000000;30.4360000
USDCB;D;07/10/10;000000;29.8929000
USDCB;D;08/10/10;000000;29.6334000
USDCB;D;09/10/10;000000;29.9086000
USDCB;D;12/10/10;000000;29.8317000
USDCB;D;13/10/10;000000;30.0763000
USDCB;D;14/10/10;000000;30.1269000
USDCB;D;15/10/10;000000;29.9315000
USDCB;D;16/10/10;000000;30.1243000
USDCB;D;19/10/10;000000;30.5237000
USDCB;D;20/10/10;000000;30.4151000
USDCB;D;21/10/10;000000;30.7968000
USDCB;D;22/10/10;000000;30.7348000
USDCB;D;23/10/10;000000;30.4977000
USDCB;D;26/10/10;000000;30.2258000
USDCB;D;27/10/10;000000;30.4000000
USDCB;D;28/10/10;000000;30.5682000
USDCB;D;29/10/10;000000;30.6786000
USDCB;D;30/10/10;000000;30.7821000
USDCB;D;02/11/10;000000;30.7738000
USDCB;D;03/11/10;000000;30.7941000
USDCB;D;04/11/10;000000;30.7709000
USDCB;D;09/11/10;000000;30.8029000
USDCB;D;10/11/10;000000;30.8612000
USDCB;D;11/11/10;000000;30.6925000
USDCB;D;12/11/10;000000;30.5107000
USDCB;D;13/11/10;000000;30.7722000
USDCB;D;14/11/10;000000;30.8414000
USDCB;D;16/11/10;000000;30.8632000
USDCB;D;17/11/10;000000;31.0560000
USDCB;D;18/11/10;000000;31.3487000
USDCB;D;19/11/10;000000;31.1999000
USDCB;D;20/11/10;000000;30.9490000
USDCB;D;23/11/10;000000;30.9950000
USDCB;D;24/11/10;000000;31.2642000
USDCB;D;25/11/10;000000;31.2929000
USDCB;D;26/11/10;000000;31.2842000
USDCB;D;27/11/10;000000;31.3539000
USDCB;D;30/11/10;000000;31.3061000
USDCB;D;01/12/10;000000;31.3335000
USDCB;D;02/12/10;000000;31.4555000
USDCB;D;03/12/10;000000;31.3518000
USDCB;D;04/12/10;000000;31.2641000
USDCB;D;07/12/10;000000;31.2867000
USDCB;D;08/12/10;000000;31.2238000
USDCB;D;09/12/10;000000;31.2430000
USDCB;D;10/12/10;000000;30.9831000
USDCB;D;11/12/10;000000;30.8604000
USDCB;D;14/12/10;000000;30.9006000
USDCB;D;15/12/10;000000;30.7447000
USDCB;D;16/12/10;000000;30.7199000
USDCB;D;17/12/10;000000;30.7528000
USDCB;D;18/12/10;000000;30.6682000
USDCB;D;21/12/10;000000;30.7746000
USDCB;D;22/12/10;000000;30.7188000
USDCB;D;23/12/10;000000;30.7187000
USDCB;D;24/12/10;000000;30.5922000
USDCB;D;25/12/10;000000;30.5778000
USDCB;D;28/12/10;000000;30.4495000
USDCB;D;29/12/10;000000;30.2720000
USDCB;D;30/12/10;000000;30.3592000
USDCB;D;31/12/10;000000;30.4769000
USDCB;D;01/01/11;000000;30.3505000
USDCB;D;12/01/11;000000;30.6252000
USDCB;D;13/01/11;000000;30.3988000
USDCB;D;14/01/11;000000;30.0926000
USDCB;D;15/01/11;000000;29.9540000
USDCB;D;18/01/11;000000;30.0534000
USDCB;D;19/01/11;000000;29.8881000
USDCB;D;20/01/11;000000;29.8252000
USDCB;D;21/01/11;000000;29.9147000
USDCB;D;22/01/11;000000;30.0109000
USDCB;D;25/01/11;000000;29.8516000
USDCB;D;26/01/11;000000;29.7948000
USDCB;D;27/01/11;000000;29.7768000
USDCB;D;28/01/11;000000;29.6738000
USDCB;D;29/01/11;000000;29.6684000
USDCB;D;01/02/11;000000;29.8018000
USDCB;D;02/02/11;000000;29.6548000
USDCB;D;03/02/11;000000;29.4219000
USDCB;D;04/02/11;000000;29.3489000
USDCB;D;05/02/11;000000;29.4136000
USDCB;D;08/02/11;000000;29.3689000
USDCB;D;09/02/11;000000;29.2550000
USDCB;D;10/02/11;000000;29.3010000
USDCB;D;11/02/11;000000;29.3535000
USDCB;D;12/02/11;000000;29.3200000
USDCB;D;15/02/11;000000;29.2583000
USDCB;D;16/02/11;000000;29.2850000
USDCB;D;17/02/11;000000;29.2735000
USDCB;D;18/02/11;000000;29.2447000
USDCB;D;19/02/11;000000;29.2585000
USDCB;D;22/02/11;000000;29.1549000
USDCB;D;23/02/11;000000;29.2859000
USDCB;D;25/02/11;000000;29.1611000
USDCB;D;26/02/11;000000;28.9405000
USDCB;D;01/03/11;000000;28.9028000
USDCB;D;02/03/11;000000;28.7569000
USDCB;D;03/03/11;000000;28.6277000
USDCB;D;04/03/11;000000;28.3228000
USDCB;D;05/03/11;000000;28.1880000
USDCB;D;06/03/11;000000;28.1717000
USDCB;D;10/03/11;000000;28.2945000
USDCB;D;11/03/11;000000;28.4356000
USDCB;D;12/03/11;000000;28.6317000
USDCB;D;15/03/11;000000;28.6640000
USDCB;D;16/03/11;000000;28.7263000
USDCB;D;17/03/11;000000;28.6582000
USDCB;D;18/03/11;000000;28.7422000
USDCB;D;19/03/11;000000;28.4763000
USDCB;D;22/03/11;000000;28.3675000
USDCB;D;23/03/11;000000;28.1561000
USDCB;D;24/03/11;000000;28.2700000
USDCB;D;25/03/11;000000;28.4015000
USDCB;D;26/03/11;000000;28.2237000
USDCB;D;29/03/11;000000;28.4110000
USDCB;D;30/03/11;000000;28.3436000
USDCB;D;31/03/11;000000;28.4290000
USDCB;D;01/04/11;000000;28.5162000
USDCB;D;02/04/11;000000;28.3684000
USDCB;D;05/04/11;000000;28.2277000
USDCB;D;06/04/11;000000;28.3113000
USDCB;D;07/04/11;000000;28.2164000
USDCB;D;08/04/11;000000;28.2286000
USDCB;D;09/04/11;000000;28.1211000
USDCB;D;12/04/11;000000;27.9758000
USDCB;D;13/04/11;000000;28.1456000
USDCB;D;14/04/11;000000;28.1145000
USDCB;D;15/04/11;000000;28.1886000
USDCB;D;16/04/11;000000;28.2212000
USDCB;D;19/04/11;000000;28.1636000
USDCB;D;20/04/11;000000;28.4213000
USDCB;D;21/04/11;000000;28.1457000
USDCB;D;22/04/11;000000;27.9398000
USDCB;D;23/04/11;000000;27.9396000
USDCB;D;26/04/11;000000;27.9924000
USDCB;D;27/04/11;000000;27.8964000
USDCB;D;28/04/11;000000;27.7144000
USDCB;D;29/04/11;000000;27.4977000
USDCB;D;30/04/11;000000;27.5022000
USDCB;D;04/05/11;000000;27.3348000
USDCB;D;05/05/11;000000;27.3675000
USDCB;D;06/05/11;000000;27.2625000
USDCB;D;07/05/11;000000;27.6635000
USDCB;D;11/05/11;000000;27.8645000
USDCB;D;12/05/11;000000;27.6288000
USDCB;D;13/05/11;000000;27.9472000
USDCB;D;14/05/11;000000;27.8497000
USDCB;D;17/05/11;000000;28.1220000
USDCB;D;18/05/11;000000;28.1177000
USDCB;D;19/05/11;000000;28.0466000
USDCB;D;20/05/11;000000;27.9608000
USDCB;D;21/05/11;000000;27.9145000
USDCB;D;24/05/11;000000;28.3418000
USDCB;D;25/05/11;000000;28.4370000
USDCB;D;26/05/11;000000;28.4794000
USDCB;D;27/05/11;000000;28.2280000
USDCB;D;28/05/11;000000;28.1166000
USDCB;D;31/05/11;000000;28.0685000
USDCB;D;01/06/11;000000;27.9805000
USDCB;D;02/06/11;000000;27.9682000
USDCB;D;03/06/11;000000;28.0419000
USDCB;D;04/06/11;000000;27.8751000
USDCB;D;07/06/11;000000;27.7752000
USDCB;D;08/06/11;000000;27.7814000
USDCB;D;09/06/11;000000;27.6847000
USDCB;D;10/06/11;000000;27.7033000
USDCB;D;11/06/11;000000;27.7907000
USDCB;D;15/06/11;000000;27.8984000
USDCB;D;16/06/11;000000;27.8957000
USDCB;D;17/06/11;000000;28.1900000
USDCB;D;18/06/11;000000;28.1778000
USDCB;D;21/06/11;000000;28.1783000
USDCB;D;22/06/11;000000;28.0118000
USDCB;D;23/06/11;000000;27.8960000
USDCB;D;24/06/11;000000;28.0568000
USDCB;D;25/06/11;000000;28.1655000
USDCB;D;28/06/11;000000;28.3478000
USDCB;D;29/06/11;000000;28.2352000
USDCB;D;30/06/11;000000;28.0758000
USDCB;D;01/07/11;000000;27.8726000
USDCB;D;02/07/11;000000;27.8536000
USDCB;D;05/07/11;000000;27.8037000
USDCB;D;06/07/11;000000;27.8622000
USDCB;D;07/07/11;000000;27.8907000
USDCB;D;08/07/11;000000;27.9853000
USDCB;D;09/07/11;000000;27.8880000
USDCB;D;12/07/11;000000;28.0839000
USDCB;D;13/07/11;000000;28.3842000
USDCB;D;14/07/11;000000;28.2557000
USDCB;D;15/07/11;000000;28.0610000
USDCB;D;16/07/11;000000;28.1277000
