<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
NYMEX.NG;D;08/01/10;000000;5.7370000
NYMEX.NG;D;09/01/10;000000;5.7490000
NYMEX.NG;D;11/01/10;000000;5.4610000
NYMEX.NG;D;12/01/10;000000;5.5720000
NYMEX.NG;D;13/01/10;000000;5.7320000
NYMEX.NG;D;14/01/10;000000;5.5820000
NYMEX.NG;D;15/01/10;000000;5.6740000
NYMEX.NG;D;16/01/10;000000;5.6910000
NYMEX.NG;D;18/01/10;000000;5.5870000
NYMEX.NG;D;19/01/10;000000;5.5690000
NYMEX.NG;D;20/01/10;000000;5.5020000
NYMEX.NG;D;21/01/10;000000;5.6220000
NYMEX.NG;D;22/01/10;000000;5.7950000
NYMEX.NG;D;23/01/10;000000;5.8190000
NYMEX.NG;D;25/01/10;000000;5.7090000
NYMEX.NG;D;26/01/10;000000;5.4610000
NYMEX.NG;D;27/01/10;000000;5.2640000
NYMEX.NG;D;28/01/10;000000;5.1750000
NYMEX.NG;D;29/01/10;000000;5.1270000
NYMEX.NG;D;30/01/10;000000;5.1310000
NYMEX.NG;D;01/02/10;000000;5.4150000
NYMEX.NG;D;02/02/10;000000;5.4610000
NYMEX.NG;D;03/02/10;000000;5.4110000
NYMEX.NG;D;04/02/10;000000;5.4330000
NYMEX.NG;D;05/02/10;000000;5.5300000
NYMEX.NG;D;06/02/10;000000;5.5150000
NYMEX.NG;D;08/02/10;000000;5.4080000
NYMEX.NG;D;09/02/10;000000;5.3010000
NYMEX.NG;D;10/02/10;000000;5.3130000
NYMEX.NG;D;11/02/10;000000;5.3860000
NYMEX.NG;D;12/02/10;000000;5.4620000
NYMEX.NG;D;13/02/10;000000;5.4680000
NYMEX.NG;D;15/02/10;000000;5.4660000
NYMEX.NG;D;16/02/10;000000;5.3500000
NYMEX.NG;D;17/02/10;000000;5.3760000
NYMEX.NG;D;18/02/10;000000;5.1750000
NYMEX.NG;D;19/02/10;000000;5.0440000
NYMEX.NG;D;20/02/10;000000;5.0440000
NYMEX.NG;D;21/02/10;000000;4.9550000
NYMEX.NG;D;22/02/10;000000;4.9020000
NYMEX.NG;D;23/02/10;000000;4.7780000
NYMEX.NG;D;24/02/10;000000;4.8500000
NYMEX.NG;D;25/02/10;000000;4.8100000
NYMEX.NG;D;26/02/10;000000;4.8130000
NYMEX.NG;D;28/02/10;000000;4.7700000
NYMEX.NG;D;01/03/10;000000;4.6990000
NYMEX.NG;D;02/03/10;000000;4.7310000
NYMEX.NG;D;03/03/10;000000;4.7590000
NYMEX.NG;D;04/03/10;000000;4.5580000
NYMEX.NG;D;05/03/10;000000;4.5930000
NYMEX.NG;D;07/03/10;000000;4.5320000
NYMEX.NG;D;08/03/10;000000;4.5730000
NYMEX.NG;D;09/03/10;000000;4.5000000
NYMEX.NG;D;10/03/10;000000;4.5540000
NYMEX.NG;D;11/03/10;000000;4.4520000
NYMEX.NG;D;12/03/10;000000;4.4000000
NYMEX.NG;D;14/03/10;000000;4.3610000
NYMEX.NG;D;15/03/10;000000;4.3890000
NYMEX.NG;D;16/03/10;000000;4.3640000
NYMEX.NG;D;17/03/10;000000;4.2710000
NYMEX.NG;D;18/03/10;000000;4.0880000
NYMEX.NG;D;19/03/10;000000;4.1690000
NYMEX.NG;D;21/03/10;000000;4.1250000
NYMEX.NG;D;22/03/10;000000;4.1060000
NYMEX.NG;D;23/03/10;000000;4.1150000
NYMEX.NG;D;24/03/10;000000;4.0890000
NYMEX.NG;D;25/03/10;000000;3.9720000
NYMEX.NG;D;26/03/10;000000;3.8720000
NYMEX.NG;D;28/03/10;000000;3.8600000
NYMEX.NG;D;29/03/10;000000;3.9020000
NYMEX.NG;D;30/03/10;000000;3.9960000
NYMEX.NG;D;31/03/10;000000;3.8770000
NYMEX.NG;D;01/04/10;000000;4.0860000
NYMEX.NG;D;04/04/10;000000;4.1020000
NYMEX.NG;D;05/04/10;000000;4.2810000
NYMEX.NG;D;06/04/10;000000;4.1300000
NYMEX.NG;D;07/04/10;000000;3.9920000
NYMEX.NG;D;08/04/10;000000;3.9310000
NYMEX.NG;D;09/04/10;000000;4.0700000
NYMEX.NG;D;11/04/10;000000;4.0980000
NYMEX.NG;D;12/04/10;000000;3.9880000
NYMEX.NG;D;13/04/10;000000;4.1330000
NYMEX.NG;D;14/04/10;000000;4.1950000
NYMEX.NG;D;15/04/10;000000;4.0070000
NYMEX.NG;D;16/04/10;000000;4.0390000
NYMEX.NG;D;18/04/10;000000;4.0460000
NYMEX.NG;D;19/04/10;000000;3.9590000
NYMEX.NG;D;20/04/10;000000;3.9630000
NYMEX.NG;D;21/04/10;000000;3.9790000
NYMEX.NG;D;22/04/10;000000;4.1140000
NYMEX.NG;D;23/04/10;000000;4.2570000
NYMEX.NG;D;25/04/10;000000;4.3080000
NYMEX.NG;D;26/04/10;000000;4.2300000
NYMEX.NG;D;27/04/10;000000;4.2300000
NYMEX.NG;D;28/04/10;000000;4.3530000
NYMEX.NG;D;29/04/10;000000;4.0130000
NYMEX.NG;D;30/04/10;000000;3.9200000
NYMEX.NG;D;02/05/10;000000;4.0000000
NYMEX.NG;D;03/05/10;000000;3.9910000
NYMEX.NG;D;04/05/10;000000;4.0230000
NYMEX.NG;D;05/05/10;000000;3.9750000
NYMEX.NG;D;06/05/10;000000;3.9220000
NYMEX.NG;D;07/05/10;000000;4.0150000
NYMEX.NG;D;09/05/10;000000;4.0300000
NYMEX.NG;D;10/05/10;000000;4.1770000
NYMEX.NG;D;11/05/10;000000;4.1530000
NYMEX.NG;D;12/05/10;000000;4.2800000
