<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
ROSN;D;22/12/10;000000;221.8000000
ROSN;D;23/12/10;000000;221.0000000
ROSN;D;24/12/10;000000;219.5000000
ROSN;D;27/12/10;000000;218.5300000
ROSN;D;28/12/10;000000;219.8000000
ROSN;D;29/12/10;000000;221.0000000
ROSN;D;30/12/10;000000;218.8500000
ROSN;D;11/01/11;000000;225.0800000
ROSN;D;12/01/11;000000;233.5700000
ROSN;D;13/01/11;000000;234.0000000
ROSN;D;14/01/11;000000;232.5100000
ROSN;D;17/01/11;000000;244.9500000
ROSN;D;18/01/11;000000;244.2000000
ROSN;D;19/01/11;000000;243.0000000
ROSN;D;20/01/11;000000;242.0000000
ROSN;D;21/01/11;000000;246.8600000
ROSN;D;24/01/11;000000;242.8600000
ROSN;D;25/01/11;000000;240.7500000
ROSN;D;26/01/11;000000;247.4900000
ROSN;D;27/01/11;000000;252.5500000
ROSN;D;28/01/11;000000;253.0000000
ROSN;D;31/01/11;000000;255.0000000
ROSN;D;01/02/11;000000;259.2500000
ROSN;D;02/02/11;000000;258.0000000
ROSN;D;03/02/11;000000;252.6900000
ROSN;D;04/02/11;000000;257.3000000
ROSN;D;07/02/11;000000;257.4600000
ROSN;D;08/02/11;000000;252.9200000
ROSN;D;09/02/11;000000;248.8000000
ROSN;D;10/02/11;000000;246.6000000
ROSN;D;11/02/11;000000;255.7000000
ROSN;D;14/02/11;000000;253.9000000
ROSN;D;15/02/11;000000;258.0000000
ROSN;D;16/02/11;000000;257.6000000
ROSN;D;17/02/11;000000;257.1200000
ROSN;D;18/02/11;000000;255.0000000
ROSN;D;21/02/11;000000;263.1000000
ROSN;D;22/02/11;000000;265.0000000
ROSN;D;24/02/11;000000;274.2200000
ROSN;D;25/02/11;000000;272.1700000
ROSN;D;28/02/11;000000;271.6800000
ROSN;D;01/03/11;000000;268.4000000
ROSN;D;02/03/11;000000;270.5500000
ROSN;D;03/03/11;000000;269.0000000
ROSN;D;04/03/11;000000;266.6900000
ROSN;D;05/03/11;000000;269.5000000
ROSN;D;09/03/11;000000;263.9900000
ROSN;D;10/03/11;000000;253.6900000
ROSN;D;11/03/11;000000;253.7500000
ROSN;D;14/03/11;000000;255.8000000
ROSN;D;15/03/11;000000;250.1000000
ROSN;D;16/03/11;000000;252.3000000
ROSN;D;17/03/11;000000;257.0000000
ROSN;D;18/03/11;000000;255.8300000
ROSN;D;21/03/11;000000;256.9000000
ROSN;D;22/03/11;000000;258.5000000
ROSN;D;23/03/11;000000;264.9800000
ROSN;D;24/03/11;000000;269.2000000
ROSN;D;25/03/11;000000;267.9900000
ROSN;D;28/03/11;000000;270.7000000
ROSN;D;29/03/11;000000;264.0000000
ROSN;D;30/03/11;000000;264.3400000
ROSN;D;31/03/11;000000;259.9900000
ROSN;D;01/04/11;000000;263.9000000
ROSN;D;04/04/11;000000;266.8000000
ROSN;D;05/04/11;000000;267.5000000
ROSN;D;06/04/11;000000;270.0000000
ROSN;D;07/04/11;000000;266.9800000
ROSN;D;08/04/11;000000;265.6400000
ROSN;D;11/04/11;000000;263.7000000
ROSN;D;12/04/11;000000;255.3500000
ROSN;D;13/04/11;000000;252.7500000
ROSN;D;14/04/11;000000;244.6600000
ROSN;D;15/04/11;000000;247.6900000
ROSN;D;18/04/11;000000;238.4900000
ROSN;D;19/04/11;000000;249.8800000
ROSN;D;20/04/11;000000;254.2000000
ROSN;D;21/04/11;000000;251.5100000
ROSN;D;22/04/11;000000;251.7000000
ROSN;D;25/04/11;000000;246.3900000
ROSN;D;26/04/11;000000;247.6400000
ROSN;D;27/04/11;000000;242.8000000
ROSN;D;28/04/11;000000;247.4000000
ROSN;D;29/04/11;000000;243.6000000
ROSN;D;03/05/11;000000;236.5000000
ROSN;D;04/05/11;000000;232.9000000
ROSN;D;05/05/11;000000;228.3000000
ROSN;D;06/05/11;000000;235.7300000
ROSN;D;10/05/11;000000;236.4900000
ROSN;D;11/05/11;000000;233.5900000
ROSN;D;12/05/11;000000;231.2500000
ROSN;D;13/05/11;000000;230.4600000
ROSN;D;16/05/11;000000;230.4900000
ROSN;D;17/05/11;000000;228.4000000
ROSN;D;18/05/11;000000;227.6700000
ROSN;D;19/05/11;000000;229.9900000
ROSN;D;20/05/11;000000;227.5000000
ROSN;D;23/05/11;000000;222.3100000
ROSN;D;24/05/11;000000;227.8400000
ROSN;D;25/05/11;000000;231.7100000
ROSN;D;26/05/11;000000;231.7000000
ROSN;D;27/05/11;000000;240.5500000
ROSN;D;30/05/11;000000;241.7000000
ROSN;D;31/05/11;000000;242.1500000
ROSN;D;01/06/11;000000;239.3100000
ROSN;D;02/06/11;000000;239.1100000
ROSN;D;03/06/11;000000;235.4000000
ROSN;D;06/06/11;000000;237.5400000
ROSN;D;07/06/11;000000;243.2100000
ROSN;D;08/06/11;000000;247.0800000
ROSN;D;09/06/11;000000;251.0000000
ROSN;D;10/06/11;000000;248.3900000
ROSN;D;14/06/11;000000;248.3000000
ROSN;D;15/06/11;000000;246.0700000
ROSN;D;16/06/11;000000;248.0000000
ROSN;D;17/06/11;000000;240.9300000
ROSN;D;20/06/11;000000;237.1000000
ROSN;D;21/06/11;000000;235.0100000
ROSN;D;22/06/11;000000;233.9000000
ROSN;D;23/06/11;000000;229.4200000
ROSN;D;24/06/11;000000;231.8100000
ROSN;D;27/06/11;000000;228.9600000
ROSN;D;28/06/11;000000;234.3000000
ROSN;D;29/06/11;000000;236.4500000
ROSN;D;30/06/11;000000;236.1000000
ROSN;D;01/07/11;000000;235.2900000
ROSN;D;04/07/11;000000;237.6000000
ROSN;D;05/07/11;000000;238.0600000
ROSN;D;06/07/11;000000;235.6000000
ROSN;D;07/07/11;000000;241.6300000
ROSN;D;08/07/11;000000;239.1400000
ROSN;D;11/07/11;000000;235.7300000
ROSN;D;12/07/11;000000;235.9300000
ROSN;D;13/07/11;000000;235.9200000
ROSN;D;14/07/11;000000;235.3200000
ROSN;D;15/07/11;000000;234.0000000
ROSN;D;18/07/11;000000;229.2500000
ROSN;D;19/07/11;000000;232.0000000
ROSN;D;20/07/11;000000;234.7000000
ROSN;D;21/07/11;000000;237.2500000
ROSN;D;22/07/11;000000;241.6900000
ROSN;D;25/07/11;000000;242.4000000
ROSN;D;26/07/11;000000;241.1800000
ROSN;D;27/07/11;000000;237.5500000
ROSN;D;28/07/11;000000;239.5800000
ROSN;D;29/07/11;000000;235.8000000
ROSN;D;01/08/11;000000;239.5000000
ROSN;D;02/08/11;000000;236.4000000
ROSN;D;03/08/11;000000;230.4800000
ROSN;D;04/08/11;000000;224.8900000
ROSN;D;05/08/11;000000;219.3700000
ROSN;D;08/08/11;000000;207.5000000
ROSN;D;09/08/11;000000;206.0000000
ROSN;D;10/08/11;000000;195.9300000
ROSN;D;11/08/11;000000;194.0000000
ROSN;D;12/08/11;000000;202.5000000
ROSN;D;15/08/11;000000;208.8200000
ROSN;D;16/08/11;000000;206.9000000
ROSN;D;17/08/11;000000;211.3600000
ROSN;D;18/08/11;000000;202.9000000
ROSN;D;19/08/11;000000;200.0000000
ROSN;D;22/08/11;000000;200.2800000
ROSN;D;23/08/11;000000;198.0000000
ROSN;D;24/08/11;000000;202.5000000
ROSN;D;25/08/11;000000;199.4500000
ROSN;D;26/08/11;000000;206.1000000
ROSN;D;29/08/11;000000;221.0000000
ROSN;D;30/08/11;000000;224.1000000
ROSN;D;31/08/11;000000;228.0000000
ROSN;D;01/09/11;000000;232.0000000
ROSN;D;02/09/11;000000;227.0500000
ROSN;D;05/09/11;000000;221.2900000
ROSN;D;06/09/11;000000;222.2000000
ROSN;D;07/09/11;000000;229.0500000
ROSN;D;08/09/11;000000;228.0600000
ROSN;D;09/09/11;000000;221.6300000
ROSN;D;12/09/11;000000;217.9900000
ROSN;D;13/09/11;000000;217.5500000
ROSN;D;14/09/11;000000;215.8000000
ROSN;D;15/09/11;000000;217.2800000
ROSN;D;16/09/11;000000;212.8000000
ROSN;D;19/09/11;000000;209.2100000
ROSN;D;20/09/11;000000;213.5300000
ROSN;D;21/09/11;000000;209.4000000
ROSN;D;22/09/11;000000;193.4500000
ROSN;D;23/09/11;000000;184.0000000
ROSN;D;26/09/11;000000;187.8000000
ROSN;D;27/09/11;000000;193.8000000
ROSN;D;28/09/11;000000;190.8900000
ROSN;D;29/09/11;000000;196.4000000
ROSN;D;30/09/11;000000;190.2800000
ROSN;D;03/10/11;000000;186.9900000
ROSN;D;04/10/11;000000;175.0700000
ROSN;D;05/10/11;000000;175.9500000
ROSN;D;06/10/11;000000;186.0000000
ROSN;D;07/10/11;000000;192.5000000
ROSN;D;10/10/11;000000;198.7200000
ROSN;D;11/10/11;000000;191.9800000
ROSN;D;12/10/11;000000;198.3000000
ROSN;D;13/10/11;000000;194.9200000
ROSN;D;14/10/11;000000;199.8400000
ROSN;D;17/10/11;000000;195.5600000
ROSN;D;18/10/11;000000;197.2200000
ROSN;D;19/10/11;000000;195.4300000
ROSN;D;20/10/11;000000;195.5200000
ROSN;D;21/10/11;000000;200.4800000
ROSN;D;24/10/11;000000;208.5200000
ROSN;D;25/10/11;000000;207.1900000
ROSN;D;26/10/11;000000;214.5300000
ROSN;D;27/10/11;000000;221.7000000
ROSN;D;28/10/11;000000;225.0000000
ROSN;D;31/10/11;000000;217.8200000
ROSN;D;01/11/11;000000;210.9800000
ROSN;D;02/11/11;000000;218.5200000
ROSN;D;03/11/11;000000;218.8700000
ROSN;D;07/11/11;000000;227.1100000
ROSN;D;08/11/11;000000;226.3100000
ROSN;D;09/11/11;000000;221.0200000
ROSN;D;10/11/11;000000;221.9700000
ROSN;D;11/11/11;000000;218.5100000
ROSN;D;14/11/11;000000;219.9000000
ROSN;D;15/11/11;000000;220.5500000
ROSN;D;16/11/11;000000;224.2000000
ROSN;D;17/11/11;000000;220.3000000
ROSN;D;18/11/11;000000;215.4800000
ROSN;D;21/11/11;000000;203.4000000
ROSN;D;22/11/11;000000;204.8800000
ROSN;D;23/11/11;000000;206.0400000
ROSN;D;24/11/11;000000;204.0000000
ROSN;D;25/11/11;000000;206.7500000
ROSN;D;28/11/11;000000;216.4500000
ROSN;D;29/11/11;000000;216.0100000
ROSN;D;30/11/11;000000;223.1300000
ROSN;D;01/12/11;000000;222.1400000
ROSN;D;02/12/11;000000;222.8000000
ROSN;D;05/12/11;000000;224.3700000
ROSN;D;06/12/11;000000;215.0200000
ROSN;D;07/12/11;000000;218.3000000
ROSN;D;08/12/11;000000;218.5100000
ROSN;D;09/12/11;000000;208.3400000
ROSN;D;12/12/11;000000;200.2200000
ROSN;D;13/12/11;000000;207.6500000
ROSN;D;14/12/11;000000;204.3500000
ROSN;D;15/12/11;000000;208.0000000
ROSN;D;16/12/11;000000;204.5500000
ROSN;D;19/12/11;000000;208.8500000
ROSN;D;20/12/11;000000;214.5000000
ROSN;D;21/12/11;000000;212.0000000
ROSN;D;22/12/11;000000;212.6500000
ROSN;D;23/12/11;000000;210.2000000
ROSN;D;26/12/11;000000;211.2300000
ROSN;D;27/12/11;000000;212.3300000
ROSN;D;28/12/11;000000;210.2600000
ROSN;D;29/12/11;000000;210.5400000
ROSN;D;30/12/11;000000;213.8000000
ROSN;D;03/01/12;000000;218.0000000
ROSN;D;04/01/12;000000;222.4000000
ROSN;D;05/01/12;000000;218.8200000
ROSN;D;06/01/12;000000;221.1900000
ROSN;D;09/01/12;000000;222.2200000
ROSN;D;10/01/12;000000;227.1100000
ROSN;D;11/01/12;000000;227.5000000
ROSN;D;12/01/12;000000;226.0000000
ROSN;D;13/01/12;000000;226.0000000
ROSN;D;16/01/12;000000;227.5200000
ROSN;D;17/01/12;000000;230.0500000
ROSN;D;18/01/12;000000;230.9400000
ROSN;D;19/01/12;000000;232.0000000
ROSN;D;20/01/12;000000;230.3100000
ROSN;D;23/01/12;000000;233.9000000
ROSN;D;24/01/12;000000;228.3100000
ROSN;D;25/01/12;000000;227.4500000
ROSN;D;26/01/12;000000;228.9000000
ROSN;D;27/01/12;000000;227.1900000
ROSN;D;30/01/12;000000;224.0000000
ROSN;D;31/01/12;000000;224.8300000
ROSN;D;01/02/12;000000;227.3900000
ROSN;D;02/02/12;000000;230.2500000
ROSN;D;03/02/12;000000;233.9100000
ROSN;D;06/02/12;000000;229.8900000
ROSN;D;07/02/12;000000;223.9400000
ROSN;D;08/02/12;000000;216.7000000
ROSN;D;09/02/12;000000;212.1000000
ROSN;D;10/02/12;000000;211.6100000
ROSN;D;13/02/12;000000;216.1700000
ROSN;D;14/02/12;000000;215.0200000
ROSN;D;15/02/12;000000;218.8500000
ROSN;D;16/02/12;000000;219.4700000
ROSN;D;17/02/12;000000;218.3900000
ROSN;D;20/02/12;000000;219.3600000
ROSN;D;21/02/12;000000;219.7500000
ROSN;D;22/02/12;000000;217.1400000
ROSN;D;24/02/12;000000;225.6900000
ROSN;D;27/02/12;000000;226.3900000
ROSN;D;28/02/12;000000;224.6000000
ROSN;D;29/02/12;000000;225.9900000
ROSN;D;01/03/12;000000;222.3000000
ROSN;D;02/03/12;000000;224.9800000
ROSN;D;05/03/12;000000;227.7000000
ROSN;D;06/03/12;000000;219.7600000
ROSN;D;07/03/12;000000;222.0000000
ROSN;D;11/03/12;000000;224.3000000
ROSN;D;12/03/12;000000;221.8000000
ROSN;D;13/03/12;000000;222.1400000
ROSN;D;14/03/12;000000;223.0800000
ROSN;D;15/03/12;000000;223.8500000
ROSN;D;16/03/12;000000;219.3100000
ROSN;D;19/03/12;000000;213.7000000
ROSN;D;20/03/12;000000;210.8000000
ROSN;D;21/03/12;000000;209.5000000
ROSN;D;22/03/12;000000;209.2500000
ROSN;D;23/03/12;000000;210.5500000
ROSN;D;26/03/12;000000;212.5000000
ROSN;D;27/03/12;000000;210.8500000
ROSN;D;28/03/12;000000;206.5300000
ROSN;D;29/03/12;000000;204.4000000
ROSN;D;30/03/12;000000;210.1900000
ROSN;D;02/04/12;000000;210.6500000
ROSN;D;03/04/12;000000;211.8900000
ROSN;D;04/04/12;000000;209.3500000
ROSN;D;05/04/12;000000;211.4000000
ROSN;D;06/04/12;000000;207.8000000
ROSN;D;09/04/12;000000;209.5200000
ROSN;D;10/04/12;000000;207.9200000
ROSN;D;11/04/12;000000;208.6500000
ROSN;D;12/04/12;000000;208.7000000
ROSN;D;13/04/12;000000;210.6000000
ROSN;D;16/04/12;000000;210.7200000
ROSN;D;17/04/12;000000;211.4400000
ROSN;D;18/04/12;000000;211.1000000
ROSN;D;19/04/12;000000;215.0000000
ROSN;D;20/04/12;000000;216.5100000
ROSN;D;23/04/12;000000;209.7800000
ROSN;D;24/04/12;000000;208.3900000
ROSN;D;25/04/12;000000;207.8000000
ROSN;D;26/04/12;000000;205.7500000
ROSN;D;27/04/12;000000;208.8600000
ROSN;D;28/04/12;000000;210.2800000
ROSN;D;02/05/12;000000;208.9100000
ROSN;D;03/05/12;000000;207.3900000
ROSN;D;04/05/12;000000;199.8500000
ROSN;D;05/05/12;000000;197.7500000
ROSN;D;07/05/12;000000;198.8800000
ROSN;D;08/05/12;000000;193.6300000
ROSN;D;10/05/12;000000;198.8000000
ROSN;D;11/05/12;000000;203.0100000
ROSN;D;12/05/12;000000;203.3900000
ROSN;D;14/05/12;000000;199.3200000
ROSN;D;15/05/12;000000;200.7100000
ROSN;D;16/05/12;000000;203.1700000
ROSN;D;17/05/12;000000;200.1700000
ROSN;D;18/05/12;000000;197.2000000
ROSN;D;21/05/12;000000;195.0400000
ROSN;D;22/05/12;000000;198.3000000
ROSN;D;23/05/12;000000;193.3900000
ROSN;D;24/05/12;000000;197.1800000
ROSN;D;25/05/12;000000;192.4000000
ROSN;D;28/05/12;000000;192.7500000
ROSN;D;29/05/12;000000;199.8000000
ROSN;D;30/05/12;000000;203.2000000
ROSN;D;31/05/12;000000;208.5700000
ROSN;D;01/06/12;000000;206.4500000
ROSN;D;04/06/12;000000;203.1100000
ROSN;D;05/06/12;000000;196.4000000
ROSN;D;06/06/12;000000;199.4100000
ROSN;D;07/06/12;000000;199.7500000
ROSN;D;08/06/12;000000;197.5000000
ROSN;D;09/06/12;000000;198.7100000
ROSN;D;13/06/12;000000;198.5900000
ROSN;D;14/06/12;000000;197.1400000
ROSN;D;15/06/12;000000;200.7800000
ROSN;D;18/06/12;000000;201.4000000
ROSN;D;19/06/12;000000;200.7700000
ROSN;D;20/06/12;000000;201.3100000
ROSN;D;21/06/12;000000;207.4000000
ROSN;D;22/06/12;000000;204.4800000
ROSN;D;25/06/12;000000;200.8900000
ROSN;D;26/06/12;000000;199.5600000
ROSN;D;27/06/12;000000;202.8000000
ROSN;D;28/06/12;000000;202.6200000
ROSN;D;29/06/12;000000;204.3200000
ROSN;D;02/07/12;000000;204.2600000
ROSN;D;03/07/12;000000;211.7000000
ROSN;D;04/07/12;000000;212.3000000
ROSN;D;05/07/12;000000;211.7400000
ROSN;D;06/07/12;000000;207.3000000
ROSN;D;09/07/12;000000;207.9000000
ROSN;D;10/07/12;000000;207.4700000
ROSN;D;11/07/12;000000;204.4900000
ROSN;D;12/07/12;000000;203.8800000
ROSN;D;13/07/12;000000;205.7300000
ROSN;D;16/07/12;000000;207.0000000
ROSN;D;17/07/12;000000;208.8400000
ROSN;D;18/07/12;000000;208.3100000
ROSN;D;19/07/12;000000;208.4500000
ROSN;D;20/07/12;000000;205.1500000
ROSN;D;23/07/12;000000;198.2500000
ROSN;D;24/07/12;000000;197.5300000
ROSN;D;25/07/12;000000;192.4800000
ROSN;D;26/07/12;000000;196.5900000
ROSN;D;27/07/12;000000;197.6400000
ROSN;D;30/07/12;000000;202.1000000
ROSN;D;31/07/12;000000;195.5000000
ROSN;D;01/08/12;000000;198.0000000
ROSN;D;02/08/12;000000;193.0100000
ROSN;D;03/08/12;000000;193.6900000
ROSN;D;06/08/12;000000;196.0000000
ROSN;D;07/08/12;000000;200.1000000
ROSN;D;08/08/12;000000;202.1300000
ROSN;D;09/08/12;000000;202.3000000
ROSN;D;10/08/12;000000;200.3300000
ROSN;D;13/08/12;000000;203.0500000
ROSN;D;14/08/12;000000;204.4300000
ROSN;D;15/08/12;000000;200.3000000
ROSN;D;16/08/12;000000;201.6900000
ROSN;D;17/08/12;000000;200.9800000
ROSN;D;20/08/12;000000;198.8000000
ROSN;D;21/08/12;000000;202.0000000
ROSN;D;22/08/12;000000;199.9500000
ROSN;D;23/08/12;000000;200.5200000
ROSN;D;24/08/12;000000;200.1900000
ROSN;D;27/08/12;000000;200.2300000
ROSN;D;28/08/12;000000;198.8600000
ROSN;D;29/08/12;000000;196.9400000
ROSN;D;30/08/12;000000;196.5500000
ROSN;D;31/08/12;000000;192.8000000
ROSN;D;03/09/12;000000;197.1300000
ROSN;D;04/09/12;000000;197.3000000
ROSN;D;05/09/12;000000;194.7300000
ROSN;D;06/09/12;000000;199.3000000
ROSN;D;07/09/12;000000;200.6700000
ROSN;D;10/09/12;000000;201.5000000
ROSN;D;11/09/12;000000;203.1100000
ROSN;D;12/09/12;000000;203.5000000
ROSN;D;13/09/12;000000;203.0500000
ROSN;D;14/09/12;000000;212.1800000
ROSN;D;17/09/12;000000;212.0000000
ROSN;D;18/09/12;000000;209.3200000
ROSN;D;19/09/12;000000;208.9400000
ROSN;D;20/09/12;000000;213.3300000
ROSN;D;21/09/12;000000;211.9000000
ROSN;D;24/09/12;000000;209.8900000
ROSN;D;25/09/12;000000;208.4100000
ROSN;D;26/09/12;000000;204.0000000
ROSN;D;27/09/12;000000;207.9300000
ROSN;D;28/09/12;000000;210.9200000
ROSN;D;01/10/12;000000;213.4900000
ROSN;D;02/10/12;000000;211.1100000
ROSN;D;03/10/12;000000;209.7400000
ROSN;D;04/10/12;000000;207.9800000
