<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
HYDR;D;04/08/09;000000;1.2100000
HYDR;D;05/08/09;000000;1.2240000
HYDR;D;06/08/09;000000;1.2590000
HYDR;D;07/08/09;000000;1.2720000
HYDR;D;10/08/09;000000;1.2810000
HYDR;D;11/08/09;000000;1.2480000
HYDR;D;12/08/09;000000;1.2890000
HYDR;D;13/08/09;000000;1.3740000
HYDR;D;14/08/09;000000;1.3290000
HYDR;D;17/08/09;000000;1.2350000
HYDR;D;19/08/09;000000;1.0970000
HYDR;D;20/08/09;000000;1.1060000
HYDR;D;21/08/09;000000;1.1550000
HYDR;D;24/08/09;000000;1.1650000
HYDR;D;25/08/09;000000;1.0970000
HYDR;D;26/08/09;000000;1.0860000
HYDR;D;27/08/09;000000;1.0720000
HYDR;D;28/08/09;000000;1.0760000
HYDR;D;31/08/09;000000;1.1010000
HYDR;D;01/09/09;000000;1.0950000
HYDR;D;02/09/09;000000;1.0670000
HYDR;D;03/09/09;000000;1.0500000
HYDR;D;04/09/09;000000;1.0490000
HYDR;D;07/09/09;000000;1.0530000
HYDR;D;08/09/09;000000;1.0510000
HYDR;D;09/09/09;000000;1.0460000
HYDR;D;10/09/09;000000;1.0490000
HYDR;D;11/09/09;000000;1.0500000
HYDR;D;14/09/09;000000;1.0910000
HYDR;D;15/09/09;000000;1.0930000
HYDR;D;16/09/09;000000;1.1080000
HYDR;D;17/09/09;000000;1.0720000
HYDR;D;18/09/09;000000;1.0900000
HYDR;D;21/09/09;000000;1.0680000
HYDR;D;22/09/09;000000;1.0690000
HYDR;D;23/09/09;000000;1.0620000
HYDR;D;24/09/09;000000;1.0550000
HYDR;D;25/09/09;000000;1.0490000
HYDR;D;28/09/09;000000;1.0450000
HYDR;D;29/09/09;000000;1.0390000
HYDR;D;30/09/09;000000;1.0430000
HYDR;D;01/10/09;000000;1.0490000
HYDR;D;02/10/09;000000;1.0370000
HYDR;D;05/10/09;000000;1.0300000
HYDR;D;06/10/09;000000;1.0300000
HYDR;D;07/10/09;000000;1.0360000
HYDR;D;08/10/09;000000;1.0650000
HYDR;D;09/10/09;000000;1.1130000
HYDR;D;12/10/09;000000;1.1290000
HYDR;D;13/10/09;000000;1.1750000
HYDR;D;14/10/09;000000;1.1920000
HYDR;D;15/10/09;000000;1.1330000
HYDR;D;16/10/09;000000;1.1140000
HYDR;D;19/10/09;000000;1.1450000
HYDR;D;20/10/09;000000;1.1300000
HYDR;D;21/10/09;000000;1.1330000
HYDR;D;22/10/09;000000;1.1140000
HYDR;D;23/10/09;000000;1.1170000
HYDR;D;26/10/09;000000;1.1230000
HYDR;D;27/10/09;000000;1.0850000
HYDR;D;28/10/09;000000;1.0200000
HYDR;D;29/10/09;000000;1.0500000
HYDR;D;30/10/09;000000;1.0270000
HYDR;D;02/11/09;000000;1.0380000
HYDR;D;03/11/09;000000;1.0030000
HYDR;D;05/11/09;000000;1.0180000
HYDR;D;06/11/09;000000;1.0050000
HYDR;D;09/11/09;000000;1.0430000
HYDR;D;10/11/09;000000;1.0670000
HYDR;D;11/11/09;000000;1.0850000
HYDR;D;12/11/09;000000;1.0890000
HYDR;D;13/11/09;000000;1.0770000
HYDR;D;16/11/09;000000;1.1310000
HYDR;D;17/11/09;000000;1.1150000
HYDR;D;18/11/09;000000;1.1490000
HYDR;D;19/11/09;000000;1.1370000
HYDR;D;20/11/09;000000;1.1540000
HYDR;D;23/11/09;000000;1.2150000
HYDR;D;24/11/09;000000;1.1560000
HYDR;D;25/11/09;000000;1.1290000
HYDR;D;26/11/09;000000;1.0840000
HYDR;D;27/11/09;000000;1.1070000
HYDR;D;30/11/09;000000;1.1310000
HYDR;D;01/12/09;000000;1.1390000
HYDR;D;02/12/09;000000;1.1340000
HYDR;D;03/12/09;000000;1.1350000
HYDR;D;04/12/09;000000;1.1520000
HYDR;D;07/12/09;000000;1.1460000
HYDR;D;08/12/09;000000;1.1370000
HYDR;D;09/12/09;000000;1.1430000
HYDR;D;10/12/09;000000;1.1470000
HYDR;D;11/12/09;000000;1.1400000
HYDR;D;14/12/09;000000;1.1380000
HYDR;D;15/12/09;000000;1.1370000
HYDR;D;16/12/09;000000;1.1450000
HYDR;D;17/12/09;000000;1.1340000
HYDR;D;18/12/09;000000;1.1340000
HYDR;D;21/12/09;000000;1.1590000
HYDR;D;22/12/09;000000;1.1680000
